ID d'incident,Timestamp,Type d'incident,Description,Severité,Statut,Responsable
1,2023-06-19 05:25:06,Panne matérielle,Chemin oeuvre interroger y frapper.,Faible,Résolu,Equipe Réseau
2,2023-09-26 11:59:18,Panne matérielle,Celui arrière flot.,Faible,Résolu,Equipe Sécurité
3,2024-01-13 09:19:51,Défaillance logicielle,Servir engager pied encore.,Moyenne,Ouvert,Equipe Sécurité
4,2023-12-14 21:46:04,Intrusion,Yeux doigt prévenir.,Faible,En cours,Equipe Support
5,2024-05-11 21:13:32,Défaillance logicielle,Principe bleu souvenir public bonheur hors.,Élevée,Résolu,Equipe Sécurité
6,2022-08-25 20:03:02,Défaillance logicielle,Mal petit déclarer rideau arrière.,Moyenne,En cours,Equipe Réseau
7,2023-06-09 15:54:35,Autre,Vraiment figurer grand.,Moyenne,Ouvert,Equipe Sécurité
8,2022-10-17 05:07:19,Défaillance logicielle,Chasser faire changement chant fidèle agir.,Moyenne,Résolu,Equipe Sécurité
9,2023-10-19 22:49:28,Défaillance logicielle,Mode veille et souffrir.,Faible,Résolu,Equipe Réseau
10,2023-11-28 20:25:52,Panne matérielle,Consentir extraordinaire être après.,Moyenne,Ouvert,Equipe Réseau
11,2022-08-14 14:02:36,Autre,Pouvoir verre soleil.,Faible,Résolu,Equipe Sécurité
12,2024-01-13 16:36:05,Défaillance logicielle,Départ alors direction importance guerre immense.,Élevée,Résolu,Equipe Sécurité
13,2024-03-26 03:44:13,Défaillance logicielle,Livrer champ debout.,Moyenne,Résolu,Equipe Réseau
14,2024-05-16 12:26:17,Panne matérielle,Chemise terrible inconnu paysan français.,Moyenne,En cours,Equipe Support
15,2023-01-06 23:17:19,Défaillance logicielle,Genre mauvais cheveu saint.,Faible,En cours,Equipe Sécurité
16,2023-10-29 17:41:55,Défaillance logicielle,Ci oublier quand puis maison autour.,Moyenne,Résolu,Equipe Réseau
17,2024-05-01 00:42:54,Panne matérielle,Subir pas ciel seigneur pays achever soutenir.,Faible,Résolu,Equipe Support
18,2022-08-25 10:28:40,Défaillance logicielle,Habitude neuf plein à qualité protéger.,Moyenne,Ouvert,Equipe Sécurité
